link,id,Availability ,title,Description,Size,Material,custom_label_0	,custom_label_1	,Price,product_type,image_link	
https://www.burrandknot.com/all/p/oak-mirror,deb5d9ca-dfcc-4c74-b36d-f562c7539e96,In stock,EDEN,"A beautiful live-edge full length mirror available in a range of sizes, handcrafted from wildly beautiful oak. Due to the unique nature of the wood, each mirror is different making this a truly original piece.Get in touch for resin design options. ",1000 x 500,,,,437 GBP,/mirrors,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608205749-WJZ07DPUD3SNCRST4ICF/IMG_7910.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608211246-2RS2QVWGIHVA6V58S182/IMG_7947.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608204164-UG5XF1IZKY0GJMZZC5UB/IMG_7944.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608206245-XASAUSBVJW86Y1UTMXHW/IMG_7932.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608207784-VUUFYOC2RNVLWW2BMYWK/IMG_7923.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209655-KL39AM8GU70TWBNMMRD9/IMG_7908.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209766-USMKHVHLYLGOXOGYY7DS/IMG_7949.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608210080-HHQ0C30PNQOJQ44RFTNO/IMG_7927.jpg
https://www.burrandknot.com/all/p/oak-mirror,04a1d401-15a2-434c-84b0-f25dfdc1560b,In stock,EDEN,"A beautiful live-edge full length mirror available in a range of sizes, handcrafted from wildly beautiful oak. Due to the unique nature of the wood, each mirror is different making this a truly original piece.Get in touch for resin design options. ",1000 x 1000,,,,550 GBP,,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608205749-WJZ07DPUD3SNCRST4ICF/IMG_7910.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608211246-2RS2QVWGIHVA6V58S182/IMG_7947.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608204164-UG5XF1IZKY0GJMZZC5UB/IMG_7944.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608206245-XASAUSBVJW86Y1UTMXHW/IMG_7932.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608207784-VUUFYOC2RNVLWW2BMYWK/IMG_7923.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209655-KL39AM8GU70TWBNMMRD9/IMG_7908.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209766-USMKHVHLYLGOXOGYY7DS/IMG_7949.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608210080-HHQ0C30PNQOJQ44RFTNO/IMG_7927.jpg
https://www.burrandknot.com/all/p/oak-mirror,56fe8d7d-36db-4db2-9947-756737c8e0f5,In stock,EDEN,"A beautiful live-edge full length mirror available in a range of sizes, handcrafted from wildly beautiful oak. Due to the unique nature of the wood, each mirror is different making this a truly original piece.Get in touch for resin design options. ",1400 x 1400,,,,879 GBP,,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608205749-WJZ07DPUD3SNCRST4ICF/IMG_7910.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608211246-2RS2QVWGIHVA6V58S182/IMG_7947.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608204164-UG5XF1IZKY0GJMZZC5UB/IMG_7944.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608206245-XASAUSBVJW86Y1UTMXHW/IMG_7932.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608207784-VUUFYOC2RNVLWW2BMYWK/IMG_7923.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209655-KL39AM8GU70TWBNMMRD9/IMG_7908.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209766-USMKHVHLYLGOXOGYY7DS/IMG_7949.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608210080-HHQ0C30PNQOJQ44RFTNO/IMG_7927.jpg
https://www.burrandknot.com/all/p/oak-mirror,4761e963-b8b2-4bdc-8234-86b3b18f1b43,In stock,EDEN,"A beautiful live-edge full length mirror available in a range of sizes, handcrafted from wildly beautiful oak. Due to the unique nature of the wood, each mirror is different making this a truly original piece.Get in touch for resin design options. ",1800 x 650,,,,813 GBP,,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608205749-WJZ07DPUD3SNCRST4ICF/IMG_7910.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608211246-2RS2QVWGIHVA6V58S182/IMG_7947.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608204164-UG5XF1IZKY0GJMZZC5UB/IMG_7944.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608206245-XASAUSBVJW86Y1UTMXHW/IMG_7932.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608207784-VUUFYOC2RNVLWW2BMYWK/IMG_7923.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209655-KL39AM8GU70TWBNMMRD9/IMG_7908.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209766-USMKHVHLYLGOXOGYY7DS/IMG_7949.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608210080-HHQ0C30PNQOJQ44RFTNO/IMG_7927.jpg
https://www.burrandknot.com/all/p/oak-mirror,907e14c4-6ef8-4f42-b32c-3eb26c9a9ccd,In stock,EDEN,"A beautiful live-edge full length mirror available in a range of sizes, handcrafted from wildly beautiful oak. Due to the unique nature of the wood, each mirror is different making this a truly original piece.Get in touch for resin design options. ",1800 x 900,,,,855 GBP,,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608205749-WJZ07DPUD3SNCRST4ICF/IMG_7910.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608211246-2RS2QVWGIHVA6V58S182/IMG_7947.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608204164-UG5XF1IZKY0GJMZZC5UB/IMG_7944.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608206245-XASAUSBVJW86Y1UTMXHW/IMG_7932.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608207784-VUUFYOC2RNVLWW2BMYWK/IMG_7923.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209655-KL39AM8GU70TWBNMMRD9/IMG_7908.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209766-USMKHVHLYLGOXOGYY7DS/IMG_7949.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608210080-HHQ0C30PNQOJQ44RFTNO/IMG_7927.jpg
https://www.burrandknot.com/all/p/oak-mirror,1ec58a90-c4e1-460e-a444-50b5624aa17a,In stock,EDEN,"A beautiful live-edge full length mirror available in a range of sizes, handcrafted from wildly beautiful oak. Due to the unique nature of the wood, each mirror is different making this a truly original piece.Get in touch for resin design options. ",2000 x 1000,,,,894 GBP,,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608205749-WJZ07DPUD3SNCRST4ICF/IMG_7910.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608211246-2RS2QVWGIHVA6V58S182/IMG_7947.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608204164-UG5XF1IZKY0GJMZZC5UB/IMG_7944.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608206245-XASAUSBVJW86Y1UTMXHW/IMG_7932.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608207784-VUUFYOC2RNVLWW2BMYWK/IMG_7923.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209655-KL39AM8GU70TWBNMMRD9/IMG_7908.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209766-USMKHVHLYLGOXOGYY7DS/IMG_7949.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608210080-HHQ0C30PNQOJQ44RFTNO/IMG_7927.jpg
https://www.burrandknot.com/all/p/oak-mirror,4020c074-dbc6-42f0-85e0-ec72da8493e0,In stock,EDEN,"A beautiful live-edge full length mirror available in a range of sizes, handcrafted from wildly beautiful oak. Due to the unique nature of the wood, each mirror is different making this a truly original piece.Get in touch for resin design options. ",2000 x 1500,,,,1064 GBP,,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608205749-WJZ07DPUD3SNCRST4ICF/IMG_7910.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608211246-2RS2QVWGIHVA6V58S182/IMG_7947.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608204164-UG5XF1IZKY0GJMZZC5UB/IMG_7944.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608206245-XASAUSBVJW86Y1UTMXHW/IMG_7932.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608207784-VUUFYOC2RNVLWW2BMYWK/IMG_7923.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209655-KL39AM8GU70TWBNMMRD9/IMG_7908.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209766-USMKHVHLYLGOXOGYY7DS/IMG_7949.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608210080-HHQ0C30PNQOJQ44RFTNO/IMG_7927.jpg
https://www.burrandknot.com/all/p/trebartha-oak,6473ebcb-4ac4-45fe-b2e0-aef4942bd2fa,In stock,TREBARTHA,"A timeless farmhouse style dining table, our Trebartha range is classic and contemporary but with a creative flair. An angular base, hand-crafted from oak(80mm thick), is married with our traditional English and french oak top, making this an all-oak table. The perfect table to take you from every-day home life and weekend breakfasts to stylish dinner parties and special occasions.",4-6 Seater 1800 x 900 x 770mm,Oak,52mm,Wainy edge,3453 GBP,/dining-tables/trebartha,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734494949-PBF2SROSZUTKVVL219YZ/DSC_0483.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734496052-RI0TO3WLM28S3DO6C2P0/DSC_0480.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734495576-OOJ5H457D3ENTD6AWS0R/DSC_0489.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734496543-2RCWCJLFR713WVPV598W/DSC_0492.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734503712-3NW5FW30CM91ES506IWY/DSC_0450.jpg
https://www.burrandknot.com/all/p/trebartha-oak,176b8306-1861-45d6-bc44-21f63fa8ba56,In stock,TREBARTHA,"A timeless farmhouse style dining table, our Trebartha range is classic and contemporary but with a creative flair. An angular base, hand-crafted from oak(80mm thick), is married with our traditional English and french oak top, making this an all-oak table. The perfect table to take you from every-day home life and weekend breakfasts to stylish dinner parties and special occasions.",4-6 Seater 1800 x 900 x 770mm,Oak,52mm,Straight edge,3453 GBP,,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734494949-PBF2SROSZUTKVVL219YZ/DSC_0483.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734496052-RI0TO3WLM28S3DO6C2P0/DSC_0480.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734495576-OOJ5H457D3ENTD6AWS0R/DSC_0489.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734496543-2RCWCJLFR713WVPV598W/DSC_0492.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734503712-3NW5FW30CM91ES506IWY/DSC_0450.jpg
https://www.burrandknot.com/all/p/trebartha-oak,8df4b984-8ca0-44b7-8273-20d24194a66a,In stock,TREBARTHA,"A timeless farmhouse style dining table, our Trebartha range is classic and contemporary but with a creative flair. An angular base, hand-crafted from oak(80mm thick), is married with our traditional English and french oak top, making this an all-oak table. The perfect table to take you from every-day home life and weekend breakfasts to stylish dinner parties and special occasions.",4-6 Seater 1800 x 900 x 770mm,Oak,52mm,Straight edge burnt,3453 GBP,,https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734494949-PBF2SROSZUTKVVL219YZ/DSC_0483.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734496052-RI0TO3WLM28S3DO6C2P0/DSC_0480.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734495576-OOJ5H457D3ENTD6AWS0R/DSC_0489.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734496543-2RCWCJLFR713WVPV598W/DSC_0492.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734503712-3NW5FW30CM91ES506IWY/DSC_0450.jpg
