"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"600857b6ebbfc679439b7ff1","deb5d9ca-dfcc-4c74-b36d-f562c7539e96","PHYSICAL","all","oak-mirror","EDEN","<p class="""">A beautiful live-edge full length mirror available in a range of sizes, handcrafted from wildly beautiful oak. Due to the unique nature of the wood, each mirror is different making this a truly original piece. <em>Get in touch for resin design options. </em></p>","SQ7914158","Size","1000 x 500","","","","","","","","","","","437.00","0.00","No","5","/mirrors","Live edge oak","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608205749-WJZ07DPUD3SNCRST4ICF/IMG_7910.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608211246-2RS2QVWGIHVA6V58S182/IMG_7947.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608204164-UG5XF1IZKY0GJMZZC5UB/IMG_7944.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608206245-XASAUSBVJW86Y1UTMXHW/IMG_7932.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608207784-VUUFYOC2RNVLWW2BMYWK/IMG_7923.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209655-KL39AM8GU70TWBNMMRD9/IMG_7908.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608209766-USMKHVHLYLGOXOGYY7DS/IMG_7949.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1621608210080-HHQ0C30PNQOJQ44RFTNO/IMG_7927.jpg"
"","04a1d401-15a2-434c-84b0-f25dfdc1560b","","","","","","SQ3051078","Size","1000 x 1000","","","","","","","","","","","550.00","0.00","No","5","","","0.0","0.0","0.0","0.0","",""
"","56fe8d7d-36db-4db2-9947-756737c8e0f5","","","","","","SQ9618030","Size","1400 x 1400","","","","","","","","","","","879.00","0.00","No","5","","","0.0","0.0","0.0","0.0","",""
"","4761e963-b8b2-4bdc-8234-86b3b18f1b43","","","","","","SQ0363636","Size","1800 x 650","","","","","","","","","","","813.00","0.00","No","5","","","0.0","0.0","0.0","0.0","",""
"","907e14c4-6ef8-4f42-b32c-3eb26c9a9ccd","","","","","","SQ2267957","Size","1800 x 900","","","","","","","","","","","855.00","0.00","No","5","","","0.0","0.0","0.0","0.0","",""
"","1ec58a90-c4e1-460e-a444-50b5624aa17a","","","","","","SQ2079453","Size","2000 x 1000","","","","","","","","","","","894.00","0.00","No","5","","","0.0","0.0","0.0","0.0","",""
"","4020c074-dbc6-42f0-85e0-ec72da8493e0","","","","","","SQ8566118","Size","2000 x 1500","","","","","","","","","","","1064.00","0.00","No","5","","","0.0","0.0","0.0","0.0","",""
"600862c3b8b2d27a81908805","877c0fbc-0bda-43f4-aa01-0c750b466545","PHYSICAL","all","qzy13ljwr86tpyal9nlafu6d1zgbzz","","","SQ6603448","","","","","","","","","","","","","0.00","0.00","No","1","","","0.0","0.0","0.0","0.0","No",""
"611689fac1651035d2779917","6473ebcb-4ac4-45fe-b2e0-aef4942bd2fa","PHYSICAL","all","trebartha-oak","TREBARTHA","<p class="""" style=""white-space:pre-wrap;"">A timeless farmhouse style dining table, our Trebartha range is classic and contemporary but with a creative flair. An angular base, hand-crafted from oak <em>(80mm thick)</em>, is married with our traditional English and french oak top, making this an all-oak table. </p><p class="""" style=""white-space:pre-wrap;"">The perfect table to take you from every-day home life and weekend breakfasts to stylish dinner parties and special occasions.</p>","SQ7481070","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Wainy edge","","","","","3453.00","0.00","No","1","/dining-tables/trebartha","chestnut top","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734494949-PBF2SROSZUTKVVL219YZ/DSC_0483.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734496052-RI0TO3WLM28S3DO6C2P0/DSC_0480.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734495576-OOJ5H457D3ENTD6AWS0R/DSC_0489.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734496543-2RCWCJLFR713WVPV598W/DSC_0492.jpg https://images.squarespace-cdn.com/content/v1/5feb103d7f7dad4366ee7d1e/1629734503712-3NW5FW30CM91ES506IWY/DSC_0450.jpg"
"","176b8306-1861-45d6-bc44-21f63fa8ba56","","","","","","SQ9135408","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Straight edge","","","","","3453.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","8df4b984-8ca0-44b7-8273-20d24194a66a","","","","","","SQ2200314","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Straight edge burnt","","","","","3453.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","796609b4-c056-4c9f-98f5-08d4cb37058e","","","","","","SQ8136920","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Wainy edge","","","","","3803.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","7c071424-c515-455c-a269-7c85ffae18f2","","","","","","SQ8189012","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Straight edge","","","","","3803.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","0e0d0260-cd71-405c-af48-56b58860d85d","","","","","","SQ9090652","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Straight edge burnt","","","","","3803.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","525368d1-13c3-41eb-8142-0a9d9e0bf58e","","","","","","SQ4060539","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Chestnut","Table top thickness","52mm","Finish","Wainy edge","","","","","3453.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","7406529c-d44a-4021-931a-a4fc51cc772d","","","","","","SQ0701749","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Chestnut","Table top thickness","52mm","Finish","Straight edge","","","","","3453.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","f690a1e3-97ad-4946-9c8d-6bb644f8c81e","","","","","","SQ9692611","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Chestnut","Table top thickness","52mm","Finish","Straight edge burnt","","","","","3453.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","3138e850-4cae-4858-910d-5d03726ecaab","","","","","","SQ9630713","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Chestnut","Table top thickness","80mm","Finish","Wainy edge","","","","","3803.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","7c6c1202-13fa-4d71-8fb2-aa7f99677db6","","","","","","SQ3705439","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Chestnut","Table top thickness","80mm","Finish","Straight edge","","","","","3803.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","9f132b18-8c4c-4c69-93aa-d2a00d80208b","","","","","","SQ8265736","Size","4-6 Seater 1800 x 900 x 770mm","Table top material","Chestnut","Table top thickness","80mm","Finish","Straight edge burnt","","","","","3803.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","cdd0a5fa-bf9c-4378-9b92-215ee1243c37","","","","","","SQ7702255","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Wainy edge","","","","","3726.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","77234312-9d3a-40fd-ac70-f6ca4ea26943","","","","","","SQ6207185","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Straight edge","","","","","3726.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","c0dad550-7cd0-4390-9537-438510b58525","","","","","","SQ6635647","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Straight edge burnt","","","","","3726.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","be2334ce-54e7-4c64-bdbb-e593e05a0fca","","","","","","SQ0397970","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Wainy edge","","","","","4303.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","52661fb6-a6cc-4fd1-b962-cfc43cd3ddc6","","","","","","SQ8861480","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Straight edge","","","","","4303.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","5c19447c-3030-4270-a09f-955a40a8798c","","","","","","SQ1046646","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Straight edge burnt","","","","","4303.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","49df21a6-404d-48c4-b67f-1a2adc0796bb","","","","","","SQ8113466","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Chestnut","Table top thickness","52mm","Finish","Wainy edge","","","","","3726.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","cfa5c3b5-9717-4184-aba1-bae7d0eb095a","","","","","","SQ8972643","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Chestnut","Table top thickness","52mm","Finish","Straight edge","","","","","3726.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","31b1dbd6-5b57-4dbd-b428-183ae35d74f3","","","","","","SQ9650615","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Chestnut","Table top thickness","52mm","Finish","Straight edge burnt","","","","","3726.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","8117d981-bb81-49b3-bd8a-eeb26db9ac84","","","","","","SQ2973967","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Chestnut","Table top thickness","80mm","Finish","Wainy edge","","","","","4303.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","5128b390-51e1-4b5c-9f2b-4d50a2bb1f75","","","","","","SQ7505307","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Chestnut","Table top thickness","80mm","Finish","Straight edge","","","","","4303.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","7947dd3d-8f41-4fe9-b921-e4db4c8af00e","","","","","","SQ6498675","Size","6-8 Seater 2200 x 1100 x 770mm","Table top material","Chestnut","Table top thickness","80mm","Finish","Straight edge burnt","","","","","4303.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","e7ab9380-4569-49ae-89b4-6c61b94e7b8d","","","","","","SQ2536871","Size","10-12 Seater 3000 x 1200 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Wainy edge","","","","","4876.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","ef496733-1dad-4138-ade3-9bd39f4ac9ae","","","","","","SQ5981644","Size","10-12 Seater 3000 x 1200 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Straight edge","","","","","4876.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","6a3037c6-bc9d-4cc7-8680-76f81235a290","","","","","","SQ3713565","Size","10-12 Seater 3000 x 1200 x 770mm","Table top material","Oak","Table top thickness","52mm","Finish","Straight edge burnt","","","","","4876.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","c05f91d0-802e-473c-b931-d300b339b780","","","","","","SQ5810935","Size","10-12 Seater 3000 x 1200 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Wainy edge","","","","","5683.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","f3e5b648-cab7-4546-ba31-a14964d8ad63","","","","","","SQ8963275","Size","10-12 Seater 3000 x 1200 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Straight edge","","","","","5683.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","335ff1db-6412-45cd-b118-653f5c02b44d","","","","","","SQ8992965","Size","10-12 Seater 3000 x 1200 x 770mm","Table top material","Oak","Table top thickness","80mm","Finish","Straight edge burnt","","","","","5683.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
"","4e054df1-b349-42ae-8fae-8eb6a01f0602","","","","","","SQ4053105","Size","10-12 Seater 3000 x 1200 x 770mm","Table top material","Chestnut","Table top thickness","52mm","Finish","Wainy edge","","","","","4876.00","0.00","No","1","","","0.0","0.0","0.0","0.0","",""
